id,idno,title,nation,authoring_entity,year_start,year_end,created,changed
549,ARG_2018_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Argentina,"FAO Statistics Division",2018,2018,Jul-03-19,Jul-03-19
562,BGD_2018_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Bangladesh,"FAO Statistics Division",2018,2018,Jul-03-19,Jul-03-19
1461,TZA_2014-2016_NPS-W4_v01_EN_M_v01_A_OCS,"National Panel Survey 2014-2016",Tanzania,"National Bureau of Statistics",2014,2016,Oct-07-20,Oct-07-20
1530,GEO_2008-2012_ABD_v01_EN_M_v01_A_OCS,"Agribusiness Development 2008-2012",Georgia,"NORC at the University of Chicago",2008,2012,Oct-22-20,Oct-26-20
910,NGA_2006_NSAEC_v01_EN_M_v01_A_OCS,"National Survey of Agricultural Export Commodities  2006",Nigeria,"National Bureau of Statistics(NBS)",2006,2006,Jul-15-19,Dec-10-19
862,AGO_2014_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Angola,"FAO Statistics Division",2014,2014,Jul-03-19,Jul-03-19
826,VNM_2018_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)","Viet Nam","FAO Statistics Division",2018,2018,Jul-03-19,Jul-03-19
1431,BEN_2011_RLPIE-BL_v01_EN_M_v01_A_OCS,"Rural Land Plans Impact Evaluation 2011",Benin,"Markus Goldstein",2011,2011,Sep-28-20,Sep-28-20
1463,MLI_2014_IAS_v01_EN_M_v01_A_OCS,"Integrated Agricultural Survey 2014",Mali,"Planning and Statistics Unit, National Institute of Statistics, National Directorate of Agriculture",2014,2014,Oct-07-20,Oct-07-20
1537,CIV_1985-1986_LSS-W1_v01_EN_M_v01_A_OCS,"Living Standards Survey 1985-1986, Wave 1 Panel","Côte d'Ivoire","Direction de la Statistique",1985,1986,Oct-23-20,Oct-23-20
554,AUS_2017_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Australia,"FAO Statistics Division",2017,2017,Jul-03-19,Jul-03-19
1457,NIC_2010-2011_RBF_v01_EN_M_v01_A_OCS,"Rice and Banana Farmers 2010-2011",Nicaragua,"Michael Carter, Conner Mullally",2010,2011,Oct-06-20,Oct-06-20
1432,MLI_2017-2018_IAS_v01_EN_M_v01_A_OCS,"Integrated Agricultural Survey 2017-2018",Mali,"Planning and Statistics Unit, National Institute of Statistics, National Directorate of Agriculture",2017,2018,Sep-28-20,Sep-28-20
540,ALB_2017_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Albania,"FAO Statistics Division",2017,2017,Jul-03-19,Jul-03-19
1426,BGR_2007_MTHS-W5_v01_EN_M_v01_A_OCS,"Multitopic Household Survey 2007",Bulgaria,"Gallup International",2007,2007,Sep-25-20,Sep-25-20
1475,NPL_2010-2011_LSS-W3_v01_EN_M_v01_A_OCS,"Living Standards Survey, Wave 3, 2010-2011",Nepal,"Central Bureau of Statistics",2010,2011,Oct-09-20,Oct-09-20
1473,ETH_2010_FIFIE-W1_v01_EN_M_v01_A_OCS,"Farmer Innovation Fund Impact Evaluation 2010",Ethiopia,"Tigist Ketema",2010,2010,Oct-09-20,Nov-03-20
840,URY_2018_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Uruguay,"FAO Statistics Division",2018,2018,Jul-03-19,Jul-03-19
1436,ARM_2004_ILCS_v01_EN_M_v01_A_OCS,"Integrated Living Conditions Survey 2004",Armenia,"National Statistical Service",2004,2004,Sep-29-20,Sep-29-20
1423,IRQ_2012_HSES-W2_v01_EN_M_v01_A_OCS,"Household Socio-Economic Survey 2012",Iraq,"Organization for Statistics and Information Technology (COSIT), Kurdistan Regional Statistics Office (KRSO)",2012,2013,Sep-24-20,Sep-24-20
1012,IND_2013_LLHS-W2_v01_EN_M_v01_A_OCS,"Land and Livestock Holding Survey (Visit 2), 2013",India,"National Sample Survey Office",2013,2013,Apr-14-20,Apr-14-20
1412,ARM_2006_ILCS_v01_EN_M_v01_A_OCS,"Integrated Living Conditions Survey 2006",Armenia,"National Statistical Service of the Republic of Armenia",2006,2006,Sep-22-20,Sep-22-20
1460,ZAF_2014_NIDS-W4_v01_EN_M_v01_A_OCS,"National Income Dynamics Study 2014","South Africa","Southern Africa Labour and Development Research Unit",2014,2015,Oct-07-20,Nov-03-20
1538,CIV_1986-1987_LSS-W2_v01_EN_M_v01_A_OCS,"Living Standards Survey 1986-1987, Wave 2 Panel","Côte d'Ivoire","Direction de la Statistique",1986,1987,Oct-23-20,Oct-23-20
1411,"ARM_2018_ILCS _v01_EN_M_v01_A_OCS","Integrated Living Conditions Survey 2018",Armenia,"National Statistical Service of the Republic of Armenia",2018,2018,Sep-22-20,Nov-03-20
1049,PHL_2015-2016_SFDAC_v01_EN_M_v01_A_OCS,"Survey of Food Demand on Agricultural Commodities 2015-2016",Philippines,"Philippine Statistics Authority (PSA)",2015,2016,May-15-20,May-15-20
1410,ARM_2009_ILCS_v01_EN_M_v01_A_OCS,"Integrated Living Conditions Survey 2009",Armenia,"National Statistical Service of the Republic of Armenia (NSS RA)",2009,2009,Sep-22-20,Nov-03-20
784,PHL_2018_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Philippines,"FAO Statistics Division",2018,2018,Jul-03-19,Jul-03-19
704,KMH_2017_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Cambodia,"FAO Statistics Division",2017,2017,Jul-03-19,Jul-03-19
993,SEN_2006-2007_AAS_v01_EN_M_v01_A_OCS,"Annual Agricultural Survey 2006-2007",Senegal,"Directorate of Analysis, Forecasting and Statistics",2006,2006,Mar-04-20,Mar-04-20
1459,ZAF_2012_NIDS-W3_v01_EN_M_v01_A_OCS,"National Income Dynamics Study 2012","South Africa","Southern Africa Labour and Development Research Unit",2012,2012,Oct-07-20,Nov-03-20
1373,IND_2020_CRSS-W1_v01_EN_M_v01_A_OCS,"COVID-19 Related Shocks Survey in Rural India 2020",India,"The World Bank",2020,2020,Sep-10-20,Sep-10-20
627,GBR_2018_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)","United Kingdom","FAO Statistics Division",2018,2018,Jul-03-19,Jul-03-19
1415,ETH_2020_HFPS_v01_EN_M_v01_A_OCS,"COVID-19 High Frequency Phone Survey of Households 2020",Ethiopia,"World Bank",2020,2020,Sep-23-20,Sep-23-20
1528,IDN_1993-1994_FLS_v01_EN_M_v01_A_OCS,"Family Life Survey 1993",Indonesia,"RAND Corporation, Lembaga Demografi (LD)",1993,1994,Oct-22-20,Oct-22-20
728,MEX_2017_FIES_v01_EN_M_v01_A_OCS,"Food Insecurity Experience Scale (FIES)",Mexico,"FAO Statistics Division",2017,2017,Jul-03-19,Jul-03-19
